id_transaccion,id_cliente,monto,fecha,id_tienda,Customer_ID,edad,geolocalizacion,preferencias,pais,segmento_cliente,monto_escalado,PCA_1,PCA_2,PCA_3
3533.0,1.0,782.92,2026-02-23 00:00:00,27.0,1,62.0,"{'pais': 'MX', 'ciudad': 'Monterrey', 'latitud': 25.3725, 'longitud': -105.8457}",['Ropa'],México,Estándar Regular,0.1566460318286041,-1.428652336353827,0.905140561677994,4.7716209718201844e-17
4542.0,1.0,1628.64,2025-02-01 04:47:10,49.0,1,62.0,"{'pais': 'MX', 'ciudad': 'Monterrey', 'latitud': 25.3725, 'longitud': -105.8457}",['Ropa'],México,Premium Regular,0.32585703938759747,-0.6486317880524617,0.9281297571157638,1.0522710012326139e-16
3825.0,2.0,1595.9,2025-05-16 04:47:10,47.0,2,74.0,"{'pais': 'mx', 'ciudad': 'Monterrey', 'latitud': 23.9206, 'longitud': -105.6767}",['Hogar'],México,Premium Regular,0.3193064453523595,-0.6960240310162994,1.5106856494830683,2.046725301757563e-16
4640.0,2.0,4110.44,2026-01-23 00:00:00,29.0,2,74.0,"{'pais': 'mx', 'ciudad': 'Monterrey', 'latitud': 23.9206, 'longitud': -105.6767}",['Hogar'],México,Premium Regular,0.8224136758156227,1.6231748403899744,1.5790383566392072,9.589629542519025e-16
0.0,0.0,0.0,1000-01-01 00:00:00,0.0,3,23.0,"{'pais': 'mex', 'ciudad': 'Monterrey', 'latitud': 23.1658, 'longitud': -100.3589}","['Electrónica', 'Ropa']",México,Estándar Joven,0.0,-2.094865656400813,-1.0123405980847453,-7.053214938676291e-16
1664.0,4.0,1809.92,2025-12-02 00:00:00,37.0,4,72.0,"{'pais': 'mx', 'ciudad': 'Guadalajara', 'latitud': 25.8629, 'longitud': -102.9997}",['Hogar'],México,Premium Regular,0.3621274024513707,-0.49576415748590746,1.4192623750530045,2.168633245797997e-16
3912.0,4.0,3419.01,2024-08-31 04:47:10,27.0,4,72.0,"{'pais': 'mx', 'ciudad': 'Guadalajara', 'latitud': 25.8629, 'longitud': -102.9997}",['Hogar'],México,Premium Regular,0.6840728928655747,0.9883242690219718,1.4630022469810198,5.65984204839078e-16
237.0,5.0,1384.43,2025-06-17 04:47:10,10.0,5,40.0,"{'pais': 'MEXICO', 'ciudad': 'Guadalajara', 'latitud': 22.5822, 'longitud': None}","['Electrónica', 'Hogar']",México,Premium Regular,0.27699569029335613,-0.8423450863773935,-0.14815934951798185,-1.2522684100219186e-16
818.0,6.0,3224.1,2025-07-09 04:47:10,46.0,6,39.0,"{'pais': 'mx', 'ciudad': 'Guadalajara', 'latitud': 24.3954, 'longitud': -106.5759}",['Deportes'],México,Premium Regular,0.6450754498781517,0.8558437862292668,-0.14677211314931407,2.564821538281457e-17
1748.0,6.0,3399.14,2025-09-02 04:47:10,20.0,6,39.0,"{'pais': 'mx', 'ciudad': 'Guadalajara', 'latitud': 24.3954, 'longitud': -106.5759}",['Deportes'],México,Premium Regular,0.680097318538141,1.0172858672663367,-0.14201400317269386,1.1090278742892865e-16
2134.0,7.0,2579.53,2026-02-20 00:00:00,34.0,7,70.0,"{'pais': 'mx', 'ciudad': 'Mazatlán', 'latitud': 25.4933, 'longitud': -100.7384}",['Ropa'],México,Premium Regular,0.5161103797103653,0.2169249082484713,1.342941696154879,2.4382994681061867e-16
3060.0,7.0,903.02,2025-12-02 04:47:10,31.0,7,70.0,"{'pais': 'mx', 'ciudad': 'Mazatlán', 'latitud': 25.4933, 'longitud': -100.7384}",['Ropa'],México,Estándar Regular,0.18067554751681664,-1.3293460199934077,1.297369147269461,4.2847733141985874e-17
