id_producto,nombre,precio,stock,categoria
1,Omnilife Shake Plus,294.53,,Nutrición
2,Omnilife Power Maker,339.28,189.0,Suplemento
3,Omnilife Shake Plus,546.27,140.0,Suplemento
4,Omnilife Magnus Supreme,418.77,8.0,Suplemento
5,Omnilife Power Maker,343.06,155.0,Suplemento
6,Omnilife Uzo,329.54,167.0,Energía
7,Omnilife Fiber'n Plus,338.18,151.0,Nutrición
8,Omnilife Supermix,597.72,,Bebida
9,Omnilife Dolvita,419.05,,Bebida
10,Omnilife Power Maker,632.89,87.0,Suplemento
11,Omnilife Aloe Beta,401.97,92.0,Nutrición
12,Omnilife Magnus Supreme,355.81,12.0,Control de peso
13,Omnilife Uzo,299.93,237.0,Control de peso
14,Omnilife Aloe Beta,470.82,213.0,Energía
15,Omnilife Verafrut,594.68,148.0,Bebida
16,Omnilife Dolvita,277.82,170.0,Bebida
17,Omnilife Supermix,365.76,21.0,Bebida
18,Omnilife Cafeto,290.4,72.0,Control de peso
19,Omnilife Shake Plus,583.64,42.0,Nutrición
20,Omnilife Biocros,333.8,69.0,Suplemento
21,Omnilife Magnus Supreme,503.99,,
22,Omnilife Starbien,434.9,70.0,Energía
23,,523.85,216.0,Suplemento
24,Omnilife Power Maker,578.72,207.0,Nutrición
25,Omnilife Fiber'n Plus,357.1,55.0,Energía
26,Omnilife Verafrut,537.17,55.0,Control de peso
27,Omnilife Fiber'n Plus,,165.0,Control de peso
28,Omnilife Starbien,355.95,64.0,Energía
29,Omnilife Uzo,355.1,150.0,Control de peso
30,Omnilife Verafrut,483.41,93.0,Bebida
31,Omnilife Starbien,453.81,,Suplemento
32,Omnilife Cafeto,293.86,161.0,
33,Omnilife Supermix,522.19,153.0,Suplemento
34,Omnilife Fiber'n Plus,402.65,120.0,Energía
35,Omnilife Ego Plant,638.43,221.0,Suplemento
36,Omnilife Shake Plus,,175.0,Energía
37,Omnilife Supermix,356.73,165.0,Nutrición
38,Omnilife Aloe Beta,367.4,41.0,Control de peso
39,,,225.0,Nutrición
40,Omnilife Uzo,554.78,130.0,
41,Omnilife Cafeto,500.12,216.0,Energía
42,Omnilife Magnus Supreme,329.56,96.0,Bebida
43,Omnilife Uzo,631.4,237.0,Energía
44,Omnilife Verafrut,250.23,83.0,Control de peso
45,Omnilife Optimus,294.75,93.0,Nutrición
46,,273.17,225.0,Energía
47,Omnilife Aloe Beta,284.26,125.0,Suplemento
48,Omnilife Supermix,463.08,33.0,Bebida
49,Omnilife Shake Plus,440.11,141.0,Bebida
50,Omnilife Ego Plant,461.07,156.0,
51,Omnilife Power Maker,621.57,194.0,
52,Omnilife Dolvita,374.69,172.0,Nutrición
53,Omnilife Thermo Tea Limón,609.85,116.0,Suplemento
54,Omnilife Power Maker,339.88,87.0,Suplemento
55,Omnilife Magnus Supreme,471.57,151.0,Bebida
56,Omnilife Optimus,278.4,162.0,Suplemento
57,Omnilife Power Maker,276.96,9.0,Nutrición
58,Omnilife Aloe Beta,,72.0,Control de peso
59,Omnilife Power Maker,465.69,186.0,Energía
60,Omnilife Magnus Supreme,439.07,201.0,
61,,412.82,25.0,Suplemento
62,Omnilife Shake Plus,,109.0,Control de peso
63,,595.53,14.0,Suplemento
64,Omnilife Optimus,,87.0,Suplemento
65,Omnilife Power Maker,326.64,138.0,Control de peso
66,Omnilife Starbien,418.75,72.0,Control de peso
67,Omnilife Power Maker,599.79,20.0,Control de peso
68,Omnilife Supermix,594.54,,Suplemento
69,Omnilife Optimus,510.86,139.0,Suplemento
70,Omnilife Aloe Beta,620.55,218.0,Bebida
71,Omnilife Starbien,412.57,124.0,Bebida
72,Omnilife Cafeto,410.42,16.0,Bebida
73,Omnilife Fiber'n Plus,250.86,100.0,Nutrición
74,Omnilife Verafrut,563.63,117.0,Nutrición
75,Omnilife Fiber'n Plus,528.64,,Energía
76,,537.36,40.0,Bebida
77,,,15.0,Energía
78,Omnilife Dolvita,466.88,192.0,Nutrición
79,Omnilife Optimus,270.06,123.0,Energía
80,Omnilife Verafrut,591.09,41.0,Suplemento
81,Omnilife Uzo,282.04,48.0,
82,Omnilife Magnus Supreme,277.18,221.0,Bebida
83,Omnilife Fiber'n Plus,297.95,228.0,Energía
84,Omnilife Power Maker,481.57,11.0,
85,Omnilife Aloe Beta,417.69,150.0,Energía
86,Omnilife Uzo,376.55,67.0,Bebida
87,Omnilife Shake Plus,536.48,62.0,Nutrición
88,Omnilife Fiber'n Plus,302.35,,Nutrición
89,Omnilife Thermo Tea Limón,376.47,193.0,Suplemento
90,Omnilife Optimus,433.31,145.0,
91,Omnilife Aloe Beta,465.05,130.0,Nutrición
92,Omnilife Starbien,623.3,226.0,Suplemento
93,Omnilife Verafrut,,73.0,Bebida
94,Omnilife Thermo Tea Limón,583.5,181.0,
95,Omnilife Magnus Supreme,643.54,,Energía
96,,517.15,142.0,Nutrición
97,Omnilife Verafrut,515.36,241.0,
98,Omnilife Ego Plant,296.17,28.0,Energía
99,,358.94,155.0,Bebida
100,Omnilife Dolvita,387.15,176.0,Nutrición
101,Omnilife Uzo,445.41,232.0,Suplemento
102,Omnilife Aloe Beta,503.71,213.0,Nutrición
103,Omnilife Optimus,251.42,198.0,Bebida
104,Omnilife Shake Plus,641.92,,
105,Omnilife Uzo,,144.0,Suplemento
106,Omnilife Aloe Beta,280.1,227.0,Bebida
107,Omnilife Uzo,,95.0,Energía
108,,309.24,33.0,Suplemento
109,Omnilife Ego Plant,395.86,239.0,Suplemento
110,Omnilife Verafrut,393.12,175.0,Bebida
111,Omnilife Shake Plus,291.12,200.0,Energía
112,Omnilife Verafrut,599.89,250.0,Energía
113,Omnilife Dolvita,311.82,239.0,Bebida
114,Omnilife Cafeto,315.0,205.0,Bebida
115,Omnilife Verafrut,414.92,46.0,Nutrición
116,Omnilife Supermix,622.33,206.0,
117,Omnilife Ego Plant,313.68,180.0,Suplemento
118,Omnilife Fiber'n Plus,598.87,220.0,Control de peso
119,Omnilife Power Maker,329.83,236.0,Control de peso
120,Omnilife Biocros,372.08,204.0,Bebida
121,Omnilife Power Maker,259.47,50.0,Control de peso
122,Omnilife Biocros,361.44,18.0,Nutrición
123,,506.59,103.0,Energía
124,Omnilife Biocros,625.69,30.0,
125,,482.24,68.0,Suplemento
126,,488.63,89.0,Nutrición
127,Omnilife Fiber'n Plus,492.48,131.0,Suplemento
128,Omnilife Fiber'n Plus,609.8,49.0,Nutrición
129,Omnilife Optimus,533.51,1.0,Energía
130,,572.6,176.0,Bebida
131,Omnilife Biocros,,243.0,Nutrición
132,Omnilife Magnus Supreme,375.57,218.0,Suplemento
133,Omnilife Dolvita,610.02,130.0,Nutrición
134,Omnilife Shake Plus,,104.0,Nutrición
135,Omnilife Uzo,300.92,108.0,Control de peso
136,Omnilife Shake Plus,549.25,45.0,Energía
137,Omnilife Magnus Supreme,370.38,141.0,Suplemento
138,Omnilife Ego Plant,364.77,,Energía
139,,511.88,120.0,Control de peso
140,,520.25,131.0,Control de peso
141,Omnilife Supermix,610.47,204.0,
142,Omnilife Shake Plus,283.92,132.0,Energía
143,Omnilife Biocros,287.35,244.0,Bebida
144,Omnilife Shake Plus,374.17,207.0,Bebida
145,Omnilife Starbien,259.77,63.0,Control de peso
