id_producto,nombre_producto,stock,precio_unitario
1,only,379.0,552.8
2,accept,345.0,583.58
3,market,212.0,600.91
4,if,458.0,706.81
5,accept,389.0,329.3
6,operation,310.0,296.61
7,appear,422.0,170.07
8,partner,6.0,938.2
9,by,298.0,728.06
10,address,285.0,23.64
11,just,387.0,769.4
12,concern,70.0,117.62
13,plant,,170.91
14,national,,490.75
15,talk,,741.44
16,tough,329.0,76.75
17,they,,400.29
18,mind,35.0,399.65
19,town,322.0,726.22
20,author,172.0,88.23
21,read,283.0,656.44
22,anyone,499.0,156.93
23,prepare,298.0,907.24
24,available,348.0,338.48
25,memory,,754.41
26,finish,259.0,621.57
27,different,,708.82
28,first,,943.99
29,yeah,53.0,571.35
30,wall,349.0,741.0
31,consider,338.0,118.46
32,myself,224.0,706.82
33,none,,860.63
34,security,246.0,686.4
35,art,485.0,194.74
36,some,244.0,858.96
37,whatever,426.0,242.51
38,instead,155.0,703.07
39,edge,92.0,835.66
40,sure,471.0,921.88
41,know,23.0,623.5
42,movie,364.0,382.89
43,board,317.0,942.78
44,technology,74.0,703.49
45,magazine,277.0,700.38
46,clear,326.0,118.55
47,color,153.0,421.22
48,ask,467.0,497.04
49,like,448.0,569.85
50,soon,,825.04
51,deal,470.0,350.47
52,group,11.0,328.62
53,thank,253.0,538.56
54,short,91.0,521.65
55,cover,402.0,112.82
56,still,248.0,905.54
57,sort,171.0,820.55
58,stand,324.0,861.31
59,home,60.0,844.33
60,wind,15.0,931.87
61,hold,265.0,570.75
62,baby,427.0,476.98
63,have,480.0,252.62
64,put,272.0,634.98
65,room,87.0,46.53
66,establish,451.0,708.39
67,meet,120.0,435.89
68,citizen,68.0,462.6
69,rest,461.0,93.13
70,huge,4.0,140.5
71,the,262.0,303.36
72,price,76.0,996.23
73,because,417.0,46.74
74,government,454.0,530.58
75,task,151.0,810.54
76,learn,275.0,971.08
77,reality,377.0,471.55
78,any,45.0,479.95
79,bring,44.0,526.44
80,skill,43.0,26.97
81,safe,203.0,287.1
82,seven,112.0,556.13
83,security,244.0,43.17
84,run,255.0,774.69
85,house,146.0,498.17
86,able,305.0,119.58
87,according,166.0,243.43
88,official,451.0,76.85
89,compare,164.0,120.52
90,authority,347.0,844.11
91,expert,10.0,84.48
92,often,429.0,438.02
93,anyone,37.0,964.07
94,small,,666.94
95,drug,39.0,972.89
96,art,286.0,371.71
97,final,,789.84
98,again,386.0,194.24
99,finish,231.0,69.8
100,technology,180.0,245.88
101,news,251.0,60.9
102,lose,0.0,167.88
103,expert,307.0,307.4
104,agree,402.0,400.38
105,move,83.0,371.89
106,oil,433.0,938.02
107,hospital,31.0,913.29
108,she,476.0,810.23
109,task,15.0,292.85
110,modern,288.0,599.58
111,least,357.0,300.06
112,dark,461.0,45.09
113,environmental,468.0,731.15
114,sense,168.0,387.14
115,glass,405.0,943.11
116,building,,94.52
117,couple,304.0,239.09
118,end,145.0,117.42
119,order,55.0,515.69
120,know,16.0,737.81
121,drop,280.0,942.0
122,analysis,94.0,667.17
123,boy,485.0,597.6
124,despite,458.0,312.68
125,step,,39.27
126,production,417.0,102.54
127,card,89.0,152.88
128,thought,110.0,488.54
129,around,,920.01
130,girl,358.0,626.28
131,over,384.0,347.77
132,cup,480.0,728.85
133,happy,94.0,46.96
134,discussion,133.0,988.17
135,national,266.0,649.16
136,audience,243.0,478.69
137,to,343.0,562.47
138,another,464.0,764.16
139,politics,,578.11
140,worry,337.0,841.01
141,personal,458.0,628.69
142,remember,27.0,726.01
143,if,326.0,315.82
144,behavior,,597.53
145,arrive,59.0,166.09
146,type,114.0,64.0
147,listen,412.0,376.94
148,television,72.0,281.64
149,hundred,486.0,536.08
150,fire,439.0,530.72
151,building,491.0,515.31
152,market,465.0,293.12
153,age,445.0,733.8
154,product,408.0,841.12
155,miss,243.0,219.38
156,crime,266.0,584.45
157,her,,30.85
158,free,263.0,498.08
159,area,207.0,971.92
160,its,95.0,260.9
161,consider,239.0,515.37
162,talk,311.0,122.06
163,bad,142.0,694.78
164,for,383.0,785.11
165,husband,322.0,537.79
166,read,166.0,9.08
167,cold,365.0,147.82
168,couple,308.0,917.79
169,key,117.0,137.91
170,mouth,416.0,54.32
171,former,494.0,541.6
172,region,,526.97
